"ID","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","promotion_last_5years","department","salary","left"
"201910087",0.17,0.84,5,232,3,0,0,"sales","low","1"
"201910088",0.44,0.45,2,132,3,0,0,"sales","low","1"
"201910089",0.37,0.57,2,130,3,0,0,"sales","low","1"
"201910090",0.1,0.79,6,291,4,0,0,"sales","low","1"
"201910091",0.4,0.5,2,130,3,0,0,"sales","low","1"
"201910092",0.89,1,5,246,5,0,0,"sales","low","1"
"201910093",0.42,0.48,2,143,3,0,0,"sales","low","1"
"201910094",0.46,0.55,2,129,3,0,0,"sales","low","1"
"201910095",0.09,0.83,6,255,4,0,0,"sales","low","1"
"201910096",0.37,0.51,2,155,3,0,0,"sales","low","1"
"201910097",0.1,0.77,6,265,4,0,0,"sales","low","1"
"201910099",0.11,0.97,6,284,4,0,0,"sales","low","1"
"201910100",0.9,1,5,221,6,0,0,"sales","medium","1"
"201910101",0.38,0.52,2,154,3,0,0,"sales","medium","1"
"201910104",0.09,0.94,7,267,4,0,0,"sales","medium","1"
"201910106",0.24,0.46,7,224,5,0,0,"accounting","medium","1"
"201910107",0.91,1,4,257,5,0,0,"accounting","medium","1"
"201910108",0.44,0.5,2,148,3,0,0,"accounting","medium","1"
"201910109",0.71,0.87,3,177,4,0,0,"hr","medium","1"
"201910110",0.4,0.49,2,155,3,0,0,"hr","medium","1"
"201910111",0.43,0.47,2,144,3,0,0,"hr","medium","1"
"201910112",0.09,0.85,6,289,4,0,0,"hr","high","1"
"201910113",0.43,0.52,2,160,3,0,0,"technical","low","1"
"201910114",0.9,0.96,4,258,5,0,0,"technical","medium","1"
"201910116",0.37,0.48,2,137,3,0,0,"technical","medium","1"
"201910117",0.86,0.68,5,263,2,0,0,"technical","medium","1"
"201910118",0.11,0.84,6,251,4,0,0,"technical","low","1"
"201910120",0.4,0.46,2,132,3,0,0,"technical","low","1"
"201910121",0.14,0.62,4,158,4,1,0,"technical","low","1"
"201910122",0.4,0.46,2,135,3,0,0,"technical","low","1"
"201910123",0.75,1,4,216,6,0,0,"technical","low","1"
"201910124",0.11,0.84,6,300,5,1,0,"support","low","1"
"201910125",0.46,0.49,2,138,3,0,0,"support","low","1"
"201910128",0.7,0.89,3,183,5,0,0,"support","low","1"
"201910129",0.09,0.82,6,250,4,0,0,"support","low","1"
"201910130",0.37,0.45,2,151,3,0,0,"support","low","1"
"201910131",0.1,0.83,6,292,4,0,0,"support","low","1"
"201910132",0.38,0.57,2,140,3,0,0,"support","low","1"
"201910133",0.9,1,5,221,5,0,0,"support","low","1"
"201910134",0.44,0.51,2,138,3,0,0,"support","low","1"
"201910135",0.36,0.5,2,132,3,0,0,"technical","low","1"
"201910136",0.31,0.84,7,133,5,0,0,"technical","low","1"
"201910137",0.1,0.84,6,283,4,1,0,"technical","low","1"
"201910138",0.42,0.48,2,129,3,0,0,"management","low","1"
"201910139",0.74,1,4,249,5,0,0,"IT","low","1"
"201910140",0.73,0.87,5,257,5,0,0,"IT","low","1"
"201910141",0.09,0.96,6,245,4,0,0,"IT","low","1"
"201910142",0.45,0.53,2,155,3,0,0,"IT","low","1"
"201910143",0.11,0.8,6,256,4,0,0,"IT","low","1"
"201910144",0.37,0.47,2,152,3,0,0,"product_mng","low","1"
"201910145",0.84,0.99,4,267,5,0,0,"product_mng","low","1"
"201910146",0.41,0.46,2,151,3,0,0,"product_mng","low","1"
"201910147",0.76,0.92,4,239,5,0,0,"product_mng","low","1"
"201910148",0.11,0.87,6,306,4,0,0,"IT","low","1"
"201910149",0.84,0.88,4,263,5,1,0,"marketing","low","1"
"201910150",0.39,0.5,2,147,3,0,0,"marketing","low","1"
"201910151",0.11,0.91,6,278,4,0,0,"marketing","low","1"
"201910152",0.45,0.56,2,154,3,0,0,"marketing","low","1"
"201910153",0.37,0.52,2,143,3,0,0,"marketing","low","1"
"201910154",0.4,0.52,2,155,3,0,0,"marketing","low","1"
"201910155",0.39,0.48,2,160,3,0,0,"sales","low","1"
"201910156",0.11,0.8,6,304,4,0,0,"accounting","low","1"
"201910157",0.83,1,5,240,5,0,0,"support","low","1"
"201910158",0.11,0.92,6,305,4,0,0,"technical","low","1"
"201910159",0.39,0.5,2,136,3,0,0,"management","low","1"
"201910160",0.45,0.45,2,132,3,0,0,"marketing","low","1"
"201910162",0.9,0.98,5,243,6,0,0,"marketing","low","1"
"201910163",0.45,0.51,2,147,3,0,0,"sales","low","1"
"201910166",0.11,0.84,7,296,4,0,0,"sales","low","1"
"201910167",0.43,0.55,2,129,3,0,0,"sales","low","1"
"201910168",0.31,0.54,5,132,5,0,0,"sales","low","1"
"201910169",0.32,0.5,2,135,5,0,0,"sales","low","1"
"201910170",0.45,0.57,2,158,3,0,0,"sales","low","1"
"201910171",0.81,0.99,4,259,5,0,0,"sales","low","1"
"201910172",0.41,0.46,2,160,3,0,1,"sales","low","1"
"201910173",0.11,0.78,7,278,4,0,0,"sales","low","1"
"201910174",0.1,0.88,6,284,4,0,0,"sales","low","1"
"201910175",0.7,0.53,2,274,4,0,0,"sales","low","1"
"201910176",0.54,0.74,4,164,2,0,0,"sales","low","1"
"201910177",0.41,0.48,2,148,3,0,0,"sales","low","1"
"201910179",0.37,0.51,2,127,3,0,0,"sales","medium","1"
"201910180",0.11,0.85,6,308,5,0,0,"sales","medium","1"
"201910181",0.4,0.47,2,146,3,0,0,"sales","medium","1"
"201910182",0.1,0.84,6,261,4,0,0,"accounting","medium","1"
"201910183",0.89,0.99,5,257,5,0,0,"accounting","medium","1"
"201910184",0.11,0.8,6,285,4,0,0,"accounting","medium","1"
"201910185",0.36,0.55,2,141,3,0,0,"hr","medium","1"
"201910186",0.4,0.46,2,127,3,0,0,"hr","medium","1"
"201910187",0.09,0.85,6,297,4,0,0,"hr","medium","1"
"201910188",0.4,0.46,2,143,3,0,0,"hr","medium","1"
"201910189",0.37,0.55,2,152,3,0,0,"technical","medium","1"
"201910190",0.44,0.51,2,156,3,0,0,"technical","high","1"
"201910192",0.92,0.87,4,226,6,1,0,"technical","medium","1"
"201910193",0.74,0.91,4,232,5,0,0,"technical","medium","1"
"201910194",0.09,0.82,6,249,4,0,0,"technical","medium","1"
"201910195",0.89,0.95,4,275,5,0,0,"technical","medium","1"
"201910196",0.09,0.8,6,304,4,0,0,"technical","low","1"
"201910197",0.27,0.54,7,278,3,0,0,"technical","low","1"
"201910200",0.77,0.94,5,226,6,0,0,"support","low","1"
"201910201",0.9,0.82,5,259,5,0,0,"support","low","1"
"201910202",0.39,0.5,2,135,3,0,0,"support","low","1"
"201910204",0.1,0.93,6,256,4,0,0,"support","low","1"
"201910205",0.87,0.9,5,254,6,0,0,"support","low","1"
"201910206",0.38,0.5,2,153,3,0,0,"support","low","1"
"201910207",0.77,0.99,5,228,5,0,0,"support","low","1"
"201910208",0.78,0.87,4,228,5,0,0,"support","low","1"
"201910209",0.44,0.5,2,128,3,0,0,"support","low","1"
"201910210",0.38,0.52,2,153,3,0,0,"support","low","1"
"201910211",0.43,0.46,2,156,3,0,0,"technical","low","1"
"201910212",0.39,0.5,4,294,3,0,0,"technical","low","1"
"201910213",0.88,1,5,219,5,0,0,"technical","low","1"
"201910214",0.45,0.46,2,153,3,0,0,"management","low","1"
"201910216",0.36,0.51,2,155,3,0,0,"IT","low","1"
"201910217",0.36,0.48,2,158,3,0,0,"IT","low","1"
"201910218",0.9,0.98,5,245,5,0,0,"IT","low","1"
"201910220",0.89,0.87,5,225,5,0,0,"product_mng","low","1"
"201910221",0.1,0.84,6,286,4,0,0,"product_mng","low","1"
"201910222",0.37,0.5,2,135,3,0,0,"product_mng","low","1"
"201910223",0.37,0.51,2,153,3,0,0,"product_mng","low","1"
"201910224",0.87,0.9,5,252,5,0,0,"IT","low","1"
"201910225",0.4,0.56,2,149,3,0,0,"accounting","low","1"
"201910227",0.37,0.46,2,158,3,0,0,"hr","low","1"
"201910228",0.44,0.54,2,149,3,0,0,"hr","low","1"
"201910230",0.78,0.98,5,239,6,0,0,"marketing","low","1"
"201910232",0.92,0.99,5,255,6,0,0,"sales","low","1"
"201910233",0.11,0.83,6,244,4,0,0,"accounting","low","1"
"201910234",0.42,0.56,2,134,3,0,0,"support","low","1"
"201910235",0.48,0.57,4,270,4,0,0,"technical","low","1"
"201910236",0.83,0.85,4,255,5,0,0,"management","low","1"
"201910237",0.4,0.53,2,151,3,0,0,"marketing","low","1"
"201910238",0.43,0.45,2,135,3,0,0,"marketing","low","1"
"201910239",0.43,0.53,2,146,3,0,0,"marketing","low","1"
"201910240",0.1,0.97,7,254,4,0,0,"sales","low","1"
"201910241",0.1,0.87,7,289,4,0,0,"sales","low","1"
"201910242",0.37,0.46,2,156,3,0,0,"sales","low","1"
"201910243",0.38,0.53,2,156,3,0,0,"sales","low","1"
"201910245",0.89,0.86,5,275,5,0,0,"sales","low","1"
"201910246",0.45,0.46,2,155,3,0,0,"sales","low","1"
"201910247",0.37,0.48,2,159,3,0,0,"sales","low","1"
"201910248",0.46,0.49,2,148,3,0,0,"sales","low","1"
"201910249",0.87,0.91,4,228,5,0,0,"sales","low","1"
"201910251",0.79,0.87,5,261,5,0,0,"sales","low","1"
"201910252",0.79,0.92,5,254,6,0,0,"sales","low","1"
"201910253",0.19,0.59,7,192,3,0,0,"sales","low","1"
"201910254",0.87,0.98,4,248,5,0,0,"sales","low","1"
"201910255",0.6,0.92,2,258,5,0,0,"sales","low","1"
"201910257",0.11,0.81,6,266,4,1,0,"sales","medium","1"
"201910258",0.42,0.54,2,156,3,0,0,"sales","medium","1"
"201910259",0.88,0.88,5,232,5,1,0,"accounting","medium","1"
"201910260",0.11,0.84,6,287,4,0,0,"accounting","medium","1"
"201910262",0.82,0.97,5,263,5,0,0,"hr","medium","1"
"201910263",0.44,0.56,2,131,3,0,0,"hr","medium","1"
"201910264",0.11,0.78,6,260,4,0,0,"hr","medium","1"
"201910265",0.42,0.5,2,139,3,0,0,"hr","medium","1"
"201910266",0.84,0.93,4,251,5,0,0,"technical","medium","1"
"201910267",0.11,0.95,6,286,4,0,0,"technical","medium","1"
"201910268",0.45,0.53,2,129,3,0,0,"technical","high","1"
"201910269",0.38,0.56,2,156,3,0,0,"technical","low","1"
"201910270",0.38,0.86,6,139,6,0,0,"technical","medium","1"
"201910271",0.44,0.51,2,127,3,0,0,"technical","medium","1"
"201910272",0.11,0.84,6,251,4,0,0,"technical","medium","1"
"201910273",0.81,0.93,5,270,5,0,0,"technical","medium","1"
"201910274",0.09,0.96,6,296,4,0,0,"technical","low","1"
"201910275",0.11,0.9,6,254,4,0,0,"technical","low","1"
"201910276",0.81,0.95,5,238,6,0,0,"technical","low","1"
"201910277",0.1,0.97,6,267,4,1,0,"support","low","1"
"201910278",0.74,0.89,5,229,6,0,0,"support","low","1"
"201910279",0.09,0.78,6,254,4,0,0,"support","low","1"
"201910281",0.1,0.98,6,268,4,0,0,"support","low","1"
"201910282",0.27,0.56,3,301,3,0,0,"support","low","1"
"201910284",0.1,0.93,6,289,4,1,0,"support","low","1"
"201910286",0.4,0.56,2,148,3,0,0,"support","low","1"
"201910288",0.11,0.79,6,292,4,0,1,"technical","low","1"
"201910289",0.82,0.91,5,232,5,0,0,"technical","low","1"
"201910290",0.36,0.48,2,137,3,0,0,"technical","low","1"
"201910291",0.4,0.46,2,128,3,0,0,"management","low","1"
"201910293",0.41,0.49,2,146,3,0,0,"IT","low","1"
"201910294",0.11,0.91,6,308,4,1,0,"IT","low","1"
"201910295",0.1,0.93,6,253,4,0,0,"IT","medium","1"
"201910296",0.38,0.51,2,146,3,0,0,"IT","medium","1"
"201910297",0.39,0.55,2,156,3,0,0,"product_mng","medium","1"
"201910298",0.4,0.52,2,147,3,0,0,"product_mng","medium","1"
"201910299",0.45,0.48,2,136,3,0,0,"product_mng","medium","1"
"201910300",0.74,0.84,5,249,5,0,0,"product_mng","medium","1"
"201910301",0.45,0.55,2,151,3,0,0,"IT","medium","1"
"201910302",0.12,1,3,278,4,0,0,"RandD","medium","1"
"201910303",0.1,0.77,7,250,5,0,0,"RandD","medium","1"
"201910304",0.37,0.55,2,127,3,0,0,"RandD","medium","1"
"201910305",0.89,0.87,5,255,5,0,0,"RandD","medium","1"
"201910308",0.11,0.81,5,287,4,0,0,"sales","low","1"
"201910309",0.41,0.48,2,145,3,0,0,"accounting","medium","1"
"201910311",0.1,0.93,7,305,4,0,0,"technical","medium","1"
"201910312",0.11,0.95,7,300,4,0,0,"management","medium","1"
"201910313",0.4,0.54,2,139,3,0,0,"marketing","low","1"
"201910315",0.1,0.81,6,268,4,0,0,"marketing","low","1"
"201910316",0.73,0.86,4,245,6,0,0,"sales","low","1"
"201910317",0.43,0.47,2,135,3,0,0,"sales","low","1"
"201910318",0.37,0.46,2,153,3,0,0,"sales","low","1"
"201910319",0.11,0.94,6,276,4,0,0,"sales","low","1"
"201910320",0.4,0.46,2,130,3,0,0,"sales","low","1"
"201910321",0.41,0.54,2,153,3,1,0,"sales","low","1"
"201910322",0.82,0.84,5,244,5,0,0,"sales","low","1"
"201910323",0.61,0.47,2,253,3,0,0,"sales","low","1"
"201910324",0.11,0.91,7,287,4,0,0,"sales","low","1"
"201910325",0.37,0.45,2,131,3,0,0,"sales","low","1"
"201910327",0.37,0.52,2,157,3,0,0,"sales","low","1"
"201910328",0.88,0.99,5,262,6,0,0,"sales","low","1"
"201910330",0.44,0.48,2,148,3,0,0,"sales","low","1"
"201910331",0.38,0.57,2,140,3,0,0,"sales","low","1"
"201910332",0.11,0.85,7,302,4,0,0,"sales","low","1"
"201910333",0.09,0.98,6,271,4,0,0,"sales","low","1"
"201910334",0.45,0.52,2,145,3,0,0,"sales","medium","1"
"201910335",0.1,0.81,6,290,4,0,0,"accounting","medium","1"
"201910336",0.45,0.47,2,151,3,0,0,"accounting","medium","1"
"201910337",0.77,0.87,5,266,5,0,0,"accounting","medium","1"
"201910339",0.39,0.5,2,142,3,0,0,"hr","medium","1"
"201910340",0.1,0.91,6,246,4,0,0,"hr","medium","1"
"201910341",0.09,0.89,7,308,5,0,0,"hr","medium","1"
"201910342",0.37,0.47,2,141,3,0,0,"technical","medium","1"
"201910344",0.41,0.56,2,143,3,0,0,"technical","medium","1"
"201910345",0.37,0.52,2,155,3,0,0,"technical","medium","1"
"201910346",0.1,0.86,6,278,4,0,0,"technical","high","1"
"201910347",0.81,1,4,253,5,0,0,"technical","low","1"
"201910348",0.11,0.8,6,282,4,0,0,"technical","medium","1"
"201910349",0.11,0.84,7,264,4,0,0,"technical","medium","1"
"201910350",0.4,0.46,2,149,3,0,0,"technical","medium","1"
"201910351",0.09,0.8,6,304,5,0,0,"technical","medium","1"
"201910352",0.48,0.93,3,219,6,0,0,"technical","low","1"
"201910353",0.91,0.91,4,262,6,0,0,"support","low","1"
"201910354",0.43,0.57,2,135,3,0,0,"support","low","1"
"201910355",0.33,0.88,6,219,5,0,0,"support","low","1"
"201910356",0.41,0.57,2,136,3,0,0,"support","low","1"
"201910357",0.41,0.55,2,154,3,0,0,"support","low","1"
"201910358",0.37,0.54,2,149,3,0,0,"support","low","1"
"201910359",0.31,0.62,6,135,5,0,0,"support","low","1"
"201910360",0.09,0.91,6,275,4,0,0,"support","low","1"
"201910361",0.1,0.87,6,290,4,0,0,"support","low","1"
"201910362",0.76,0.9,4,263,5,0,0,"support","low","1"
"201910363",0.41,0.54,2,145,3,0,0,"support","low","1"
"201910364",0.72,0.96,5,267,5,0,0,"technical","low","1"
"201910365",0.4,0.5,2,141,3,1,0,"technical","low","1"
"201910366",0.91,0.87,4,235,5,0,0,"technical","low","1"
"201910368",0.4,0.56,2,131,3,0,0,"IT","low","1"
"201910369",0.82,0.86,5,243,5,0,0,"IT","low","1"
"201910371",0.37,0.45,2,142,3,0,0,"IT","low","1"
"201910372",0.36,0.51,2,135,3,0,0,"IT","low","1"
"201910373",0.39,0.48,2,141,3,0,0,"product_mng","medium","1"
"201910374",0.36,0.57,2,142,3,0,0,"product_mng","medium","1"
"201910375",0.86,0.84,5,254,5,0,0,"product_mng","medium","1"
"201910376",0.73,0.99,5,262,5,0,0,"product_mng","medium","1"
"201910377",0.56,0.71,4,296,2,0,0,"IT","medium","1"
"201910378",0.44,0.56,2,158,3,0,0,"accounting","medium","1"
"201910379",0.31,0.56,4,238,2,0,0,"accounting","medium","1"
"201910380",0.77,0.93,4,231,5,0,0,"hr","medium","1"
"201910381",0.44,0.45,2,156,3,0,0,"hr","medium","1"
"201910383",0.45,0.48,2,144,3,0,0,"marketing","medium","1"
"201910385",0.36,0.48,2,156,3,0,0,"accounting","high","1"
"201910387",0.1,0.93,6,298,4,0,0,"technical","medium","1"
"201910389",0.45,0.5,2,157,3,0,0,"marketing","medium","1"
"201910390",0.42,0.57,2,154,3,1,0,"marketing","medium","1"
"201910391",0.78,1,4,253,5,0,0,"marketing","low","1"
"201910393",0.84,1,4,261,5,0,0,"sales","low","1"
"201910394",0.11,0.93,6,282,4,0,0,"sales","low","1"
"201910395",0.42,0.56,2,133,3,0,0,"sales","low","1"
"201910396",0.45,0.46,2,128,3,0,0,"sales","low","1"
"201910397",0.46,0.57,2,139,3,0,0,"sales","low","1"
"201910398",0.09,0.79,6,293,5,0,0,"sales","low","1"
"201910399",0.87,0.83,4,265,6,0,0,"sales","low","1"
"201910400",0.1,0.87,6,250,4,0,0,"sales","low","1"
"201910401",0.91,1,5,251,6,0,0,"sales","low","1"
"201910402",0.76,0.92,4,246,5,0,0,"sales","low","1"
"201910403",0.74,1,5,275,5,0,0,"sales","low","1"
"201910404",0.92,0.93,5,240,5,0,0,"sales","low","1"
"201910405",0.76,0.87,5,245,5,0,0,"sales","low","1"
"201910406",0.47,0.5,4,254,4,0,0,"sales","low","1"
"201910407",0.73,0.99,5,241,5,0,0,"sales","low","1"
"201910408",0.09,0.94,6,257,4,0,0,"sales","low","1"
"201910409",0.91,0.92,4,246,5,0,0,"sales","low","1"
"201910410",0.82,0.98,4,233,5,0,0,"sales","low","1"
"201910411",0.28,0.45,6,218,4,0,0,"accounting","low","1"
"201910412",0.84,0.99,4,262,6,0,0,"accounting","medium","1"
"201910413",0.45,0.53,2,138,3,0,0,"accounting","medium","1"
"201910414",0.45,0.54,2,142,3,0,0,"hr","medium","1"
"201910416",0.42,0.48,2,155,3,0,0,"hr","medium","1"
"201910417",0.82,1,4,229,6,0,0,"hr","medium","1"
"201910418",0.11,0.9,6,264,4,0,0,"technical","medium","1"
"201910419",0.42,0.53,3,199,4,0,0,"technical","medium","1"
"201910420",0.82,0.85,4,223,5,0,0,"technical","medium","1"
"201910421",0.09,0.96,6,268,4,0,0,"technical","medium","1"
"201910422",0.1,0.94,6,287,4,0,0,"technical","medium","1"
"201910423",0.86,1,5,257,5,0,0,"technical","medium","1"
"201910424",0.4,0.46,2,143,3,0,0,"technical","high","1"
"201910426",0.42,0.51,2,136,3,0,0,"technical","medium","1"
"201910428",0.55,0.6,3,180,4,0,0,"technical","medium","1"
"201910429",0.37,0.45,2,126,3,0,0,"support","medium","1"
"201910430",0.41,0.52,2,127,3,1,0,"support","low","1"
"201910431",0.89,0.65,5,195,6,0,0,"support","low","1"
"201910432",0.41,0.57,2,160,3,0,0,"support","low","1"
"201910434",0.87,0.84,4,264,6,0,0,"support","low","1"
"201910435",0.1,0.84,6,309,4,0,0,"support","low","1"
"201910436",0.41,0.47,2,135,3,0,0,"support","low","1"
"201910438",0.43,0.53,2,160,3,0,0,"support","low","1"
"201910439",0.77,0.9,4,237,5,0,0,"support","low","1"
"201910441",0.41,0.48,2,139,3,0,0,"technical","low","1"
"201910442",0.36,0.78,2,151,4,0,0,"technical","low","1"
"201910444",0.81,0.98,5,245,5,0,0,"IT","low","1"
"201910445",0.39,0.54,2,127,3,0,0,"IT","low","1"
"201910446",0.09,0.94,6,283,5,0,0,"IT","low","1"
"201910448",0.1,0.84,5,298,4,0,0,"IT","low","1"
"201910449",0.36,0.48,2,159,3,0,0,"product_mng","low","1"
"201910451",0.81,0.9,4,226,5,0,0,"product_mng","medium","1"
"201910452",0.85,0.98,5,248,5,0,0,"product_mng","medium","1"
"201910453",0.1,0.87,6,286,4,0,0,"IT","medium","1"
"201910454",0.37,0.54,2,145,3,0,0,"RandD","medium","1"
"201910455",0.09,0.97,7,254,4,1,0,"RandD","medium","1"
"201910456",0.44,0.53,2,127,3,0,0,"RandD","medium","1"
"201910457",0.86,0.93,5,223,5,0,0,"RandD","medium","1"
"201910458",0.77,1,4,255,5,0,0,"RandD","medium","1"
"201910459",0.41,0.48,2,136,3,0,0,"marketing","medium","1"
"201910460",0.4,0.48,2,137,3,0,0,"sales","medium","1"
"201910461",0.43,0.49,2,135,3,0,0,"accounting","medium","1"
"201910462",0.43,0.5,2,137,3,0,0,"support","medium","1"
"201910463",0.8,0.53,3,255,5,0,0,"technical","high","1"
"201910464",0.8,0.85,4,273,5,0,0,"management","low","1"
"201910465",0.82,0.98,5,234,5,0,0,"marketing","medium","1"
"201910466",0.37,0.54,2,152,3,0,0,"marketing","medium","1"
"201910467",0.37,0.48,2,134,3,0,0,"marketing","medium","1"
"201910468",0.09,0.95,6,292,4,0,0,"sales","medium","1"
"201910469",0.9,0.92,5,245,5,0,0,"sales","low","1"
"201910470",0.41,0.52,2,159,3,0,0,"sales","low","1"
"201910471",0.1,0.85,6,260,4,0,0,"sales","low","1"
"201910472",0.44,0.53,2,149,3,0,0,"sales","low","1"
"201910473",0.89,0.85,5,266,5,0,0,"sales","low","1"
"201910474",0.42,0.56,2,149,3,0,0,"sales","low","1"
"201910475",0.87,1,5,242,5,0,0,"sales","low","1"
"201910476",0.45,0.57,2,134,3,0,0,"sales","low","1"
"201910478",0.09,0.79,6,275,4,0,0,"sales","low","1"
"201910479",0.76,0.83,5,227,5,0,0,"sales","low","1"
"201910480",0.11,0.96,7,277,5,0,0,"sales","low","1"
"201910481",0.37,0.49,2,151,3,0,0,"sales","low","1"
"201910482",0.1,0.79,6,274,4,0,0,"sales","low","1"
"201910483",0.77,0.87,4,242,6,0,0,"sales","low","1"
"201910485",0.38,0.52,2,145,3,0,0,"sales","low","1"
"201910486",0.32,0.95,5,172,2,0,0,"sales","low","1"
"201910488",0.19,1,4,192,4,0,0,"accounting","low","1"
"201910489",0.1,0.83,7,276,4,0,0,"accounting","low","1"
"201910490",0.76,0.88,4,206,4,0,0,"hr","medium","1"
"201910491",0.53,0.56,4,281,6,0,0,"hr","medium","1"
"201910492",0.39,0.51,2,151,3,0,0,"hr","medium","1"
"201910493",0.11,0.83,6,244,4,0,0,"hr","medium","1"
"201910494",0.1,0.94,6,309,4,0,0,"technical","medium","1"
"201910495",0.84,1,5,218,5,0,0,"technical","medium","1"
"201910496",0.82,0.99,4,263,6,0,0,"technical","medium","1"
"201910497",0.1,0.82,6,244,4,0,0,"technical","medium","1"
"201910498",0.59,0.49,7,263,4,0,0,"technical","medium","1"
"201910499",0.44,0.48,2,143,3,0,0,"technical","medium","1"
